approach_displacement	approach_deflection	retract_displacement	retract_deflection
5.4357	9.020775	5.562953	12.572260000000002
5.51683	8.970039	5.644083	12.511379999999999
5.59796	8.939598	5.725213	12.38961
5.67909	8.878715	5.806343	12.37947
5.760221	8.899009	5.887473	12.349020000000001
5.841351	8.807686	5.968603	12.277989999999999
5.922481	8.635185	6.049733	12.206969999999998
6.003611	8.655479	6.130863	12.19682
6.084741	8.706215	6.211993	12.10549
6.165871	8.584449	6.293123	12.054760000000002
6.247001	8.554008	6.374253	12.06491
6.328131	8.493125	6.455383	11.983730000000001
6.409261	8.44239	6.536513	11.93299
6.490391	8.401801	6.617643	11.9127
6.571521	8.280036	6.698773	11.85182
6.652651	8.30033	6.779903	11.750350000000001
6.733781	8.198859	6.861033	11.69961
6.814911	8.137977	6.942163	11.689459999999999
6.896041	8.178564999999999	7.023293	11.62858
6.977171	8.107535	7.104424	11.577840000000002
7.058301	8.046653	7.185554	11.50682
7.139431	8.026359	7.266684	11.425640000000001
7.220561	7.965476	7.347814	11.3749
7.301691	7.81327	7.428944	11.36476
7.382821	7.7523860000000004	7.510074	11.29373
7.463951	7.742239	7.591204	11.19225
7.545081	7.691504	7.672334	11.19225
7.626211	7.650916	7.753464	11.18211
7.707341	7.569738999999999	7.834594	11.11108
7.788471	7.5190030000000005	7.915724	11.0299
7.869601	7.417532	7.996854	10.96902
7.950731	7.376944	8.077984	10.92843
8.031861	7.397238	8.159114	10.91828
8.112991	7.427679	8.240244	10.88784
8.194121	7.326208	8.321374	10.82696
8.275251	7.275473	8.402504	10.78637
8.356381	7.255179000000001	8.483634	10.64431
8.437511	7.102971999999999	8.564764	10.603720000000001
8.518641	7.102971999999999	8.645894	10.542840000000002
8.599771	7.052237	8.727024	10.481959999999999
8.680902	7.001500999999999	8.808154	10.46166
8.762032	6.8594420000000005	8.889284	10.42108
8.843162	6.818853000000001	8.970414	10.329749999999999
8.924292	6.798559	9.051544	10.23843
9.005422	6.768117999999999	9.132674	10.22828
9.086552	6.656499999999999	9.213804	10.23843
9.167682	6.656499999999999	9.294934	10.15725
9.248812	6.646353	9.376064	10.1674
9.329942	6.534733999999999	9.457194	10.06593
9.411072	6.555028999999999	9.538324	10.03549
9.492202	6.463705	9.619454	9.954308
9.573332	6.433264	9.700584	9.873130999999999
9.654462	6.443411	9.781714	9.852837
9.735592	6.311498	9.862844	9.791953999999999
9.816722	6.2912040000000005	9.943974	9.751366
9.897852	6.2709090000000005	10.0251	9.70063
9.978982	6.159291	10.10623	9.660041999999999
10.06011	6.05782	10.18736	9.558570999999999
10.14124	6.118703	10.26849	9.538277
10.22237	6.017232	10.34962	9.528129999999999
10.3035	5.925908	10.43075	9.426658999999999
10.38463	5.895467	10.51188	9.396218
10.46576	5.925908	10.59301	9.345481999999999
10.54689	5.844731	10.67414	9.3048940000000009
10.62802	5.81429	10.75527	9.254158
10.70915	5.804143	10.8364	9.132393
10.79028	5.753407999999999	10.91753	9.101951
10.87141	5.6113480000000004	10.99866	9.07151
10.95254	5.631642	11.07979	9.051216
11.03367	5.6113480000000004	11.16092	8.959892
11.1148	5.540318	11.24205	8.888862
11.19593	5.469288000000001	11.32318	8.899009
11.27706	5.469288000000001	11.40431	8.838127
11.35819	5.448994	11.48545	8.787391
11.43932	5.235905	11.56658	8.68592
11.52045	5.215611	11.64771	8.574302
11.60158	5.215611	11.72884	8.554008
11.68271	5.11414	11.80997	8.564155
11.76384	5.11414	11.8911	8.513419
11.84497	5.093846	11.97223	8.432242
11.9261	5.103993	12.05336	8.411948
12.00723	4.951786	12.13449	8.361213
12.08836	4.961933	12.21562	8.290182999999999
12.16949	4.931492	12.29675	8.188712
12.25062	4.850315	12.37788	8.12783
12.33175	4.779286	12.45901	8.066947
12.41288	4.718403	12.54014	8.066947
12.49401	4.627079	12.62127	8.026359
12.57514	4.718403	12.7024	7.98577
12.65627	4.556049	12.78353	7.843711
12.7374	4.424137	12.86466	7.8741520000000005
12.81853	4.3835489999999995	12.94579	7.803123
12.89966	4.434284	13.02692	7.661063
12.98079	4.444431	13.10805	7.661063
13.06192	4.312519	13.18918	7.650916
13.14305	4.200901	13.27031	7.569738999999999
13.22418	4.271931	13.35144	7.539297
13.30531	4.200901	13.43257	7.478415
13.38644	4.129871	13.5137	7.4073850000000006
13.46757	4.119724	13.59483	7.295767
13.5487	4.150165	13.67596	7.275473
13.62983	4.008106000000001	13.75709	7.265326
13.71096	3.8761930000000002	13.83822	7.214589999999999
13.79209	3.855899	13.91935	7.174002000000001
13.87322	3.815311	14.00048	7.143561
13.95435	3.815311	14.08161	7.042089
14.03548	3.7138400000000003	14.16274	6.97106
14.11661	3.703693	14.24387	6.9507650000000005
14.19774	3.673251	14.325	6.930471
14.27887	3.6123689999999997	14.40613	6.910177
14.36	3.581927	14.48726	6.8492939999999995
14.44113	3.510898	14.56839	6.788411999999999
14.52226	3.4906029999999997	14.64952	6.7478229999999995
14.60339	3.4804559999999998	14.73065	6.686941000000001
14.68452	3.378985	14.81178	6.636205
14.76565	3.226779	14.89291	6.6260580000000004
14.84678	3.2369260000000004	14.97404	6.5042930000000005
14.92791	3.247073	15.05517	6.453558
15.00904	3.2064850000000003	15.1363	6.423116
15.09017	3.1456020000000002	15.21743	6.362234
15.1713	3.105013	15.29856	6.372381000000001
